X	Y	NAME	NAME_EN	OPERATOR	OSM_TYPE	OSM_ID
73.5683038	4.3094086				node	"208525439"
73.4896588	3.9433609				node	"208526613"
73.5112856	4.1796362				node	"530265268"
72.9858789	4.2596658				node	"1487261272"
72.7268912	4.0533596	Ferry Terminal			node	"1504737644"
73.5028057	3.9730207				node	"1637492368"
73.5058318	3.9724017				node	"1641957415"
73.0838847	5.2049116	Arrival Jetty		Dusit Thani Maldives	node	"1973308036"
73.5265892	4.1895104				node	"2148946349"
73.5266078	4.1904197				node	"2148946362"
73.4892063	3.9425179				node	"2255735188"
72.8246701	3.4785167				node	"2405923241"
73.1394276	5.283745				node	"2681845891"
73.5116172	4.1792688				node	"2722479729"
73.4295081	0.7383923				node	"2790351001"
73.5170283	4.1779411				node	"3063811852"
73.2992789	2.3138325	Staff Jetty			node	"3645465870"
73.297237	2.3123582	Guest Jetty		Maalifushi	node	"3645470305"
73.1133261	5.2362277	Main Jetty			node	"4016515266"
73.1129234	5.2847401				node	"4016518346"
73.0761057	5.1103703	Soneva Fushi Jetty B			node	"4017107870"
73.0727055	5.1168134				node	"4017107871"
73.0804024	5.1131986				node	"4017107872"
73.0883384	5.2058833	Watersports Jetty			node	"4017684127"
72.7476199	4.1933904				node	"4174899477"
73.5015803	4.1717402				node	"4174899488"
72.9911379	4.2656129				node	"4318634813"
72.8303126	3.4760197				node	"4444066405"
72.801614	3.4876535				node	"4444066412"
72.716186	3.6170393				node	"4455262886"
73.5146719	4.1784305	Jetty #7			node	"4678105690"
73.5134264	4.1787603	MLE Airport Employees Ferry (Jetty #5)			node	"4678136190"
73.5100943	4.1802535				node	"5156461535"
73.1377084	-0.6811794	Feydhoo Ferry Terminal		Southern Transport Link	node	"5161421923"
73.221396	-0.5895116	MTCC Hulhumeedhoo Terminal		South Transport Link	node	"5161450470"
73.4618467	4.9608359				node	"5369192288"
73.4658835	3.9002005				node	"5833834250"
72.9643923	4.439346	Thoddoo			node	"6297804585"
73.5137367	4.1786693	Jetty #6			node	"6359990885"
73.5985896	4.3335803				node	"6359990907"
72.7226634	3.6168698				node	"7007704582"
72.9517022	6.5525864	Vaikaradhoo - R1V1			node	"7611923298"
73.7148022	4.4408893	Speedboat Transfer Point			node	"7850468063"
73.7148775	4.4411514	Slow Public Ferry Transfer Point			node	"7850468064"
73.4893609	3.9428039				node	"8050459118"
73.5516936	4.2869009	Villa Nautica Jetty			node	"8296098005"
72.8648189	4.2165304				node	"8581040433"
73.7148059	4.4408146				node	"9297679699"
73.4568797	4.1837511				node	"9802005000"
73.5389467	3.4869042				node	"9810400642"
72.9348029	4.8836845				node	"9810442325"
73.0946084	-0.6059299				node	"9823532989"
73.0089597	2.9832828				node	"10939023807"
73.0150731	2.9807715				node	"10939023811"
73.0708795	5.1049341				node	"12194849713"
